io_id,label,stage,direction,pdf_page,coverage_status,evidence
IO_CMP_CatalystSupportRatio,Catalyst-support ratio mPtC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_IonomerDensityDry,Ionomer density (dry) rhoIon,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystActiveParticleDensity,Catalyst active particle density rhoPt,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_DensityOfCarbon,Density of carbon rhoC,ITC,input,1,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_CapillaryPressureRange,Capillary pressure range for WRC pc,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLWaterRetentionCurve,CCL water saturation for WRC Sr,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophilicPores,CCL fraction of hydrophilic pores X1,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophobicPores,CCL fraction of hydrophobic pores X2,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLEffectiveIonomerCoverage,CCL effective ionomer coverage aIon,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLIonomerEffectiveFilmThickness,CCL ionomer effective film thickness t,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_A1,CCL pore area of primary pores A1,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_A2,CCL pore area of secondary pores A2,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_Apores,CCL total pore area Apores,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_deltaDA,CCL degree of alignment of ionomer film deltaDA,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_ThetaPtC,CCL contact angle of PtC pore wall thetaPtC,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_ThetaIon,CCL contact angle of ionomer pore wall thetaIon,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_thetaCCL,CCL mean contact angle thetaCCL,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_thetaCCLHI,CCL mean contact angle of HI pores thetaCCLHI,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLStructuralParameters_thetaCCLHO,CCL mean contact angle of HO pores thetaCCLHO,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophobicPores_XHO,CCL fraction of hydrophobic pores X_HO,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_PoreSizeRange,Pore size for PSD r,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLRefinedPoreSizeDistributionContactAngleDistribution_PSD,CCL refined pore size distribution PSD,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_ContactAngleRange,Contact angles for CAD cosTheta,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLRefinedPoreSizeDistributionContactAngleDistribution_CAD,CCL contact angle distribution CAD,ITC,output,2,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_DensityOfCarbon,Density of carbon rhoC,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_MAT_CatalystActiveParticleDensity,Catalyst active particle density rhoPt,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CatalystSupportRatio,Catalyst-support ratio mPtC,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ICRatio,I/C-ratio mIC,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_TotalPoreVolume,Total pore volume Vpores,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophilicPores,CCL fraction of hydrophilic pores X1,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophobicPores,CCL fraction of hydrophobic pores X2,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLFractionHydrophobicPores_XHO,CCL fraction of hydrophobic pores X_HO,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_CapillaryPressureRange,Capillary pressure range for WRC pc,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLWaterRetentionCurve,CCL water saturation for WRC Sr,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_PoreSizeRange,Pore size for PSD r,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLRefinedPoreSizeDistributionContactAngleDistribution_PSD,CCL refined pore size distribution PSD,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_PercolationThreshold,Percolation threshold X_c,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfElectrolyte,Volume fraction of electrolyte X_el,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfSolidPhasePtC,Volume fraction of solid phase (Pt + C) X_PtC,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLPorosity,Volume fraction of pores in CCL X_p_CCL,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfTotalHIPoresInCCL,Volume fraction of total HI pores in CCL X_p_HI,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfHIPrimaryPoresInCCL,Volume fraction of HI primary pores in CCL X_p_HI_mu,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfHISecondaryPoresInCCL,Volume fraction of HI secondary pores in CCL X_p_HI_M,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_RatioOfHiPrimaryToSecondaryPores,Ratio of HI primary to secondary pores chi_CCL,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfHOPoresInCCL,Volume fraction of HO pores in CCL X_p_HO,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MPLPorosity,Volume fraction of pores in MPL X_p_MPL,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfPrimaryPoresInMPL,Volume fraction of primary pores in MPL X_p_MPL_mu,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfSecondaryPoresInMPL,Volume fraction of secondary pores in MPL X_p_MPL_M,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_RatioOfMPLPoresToCracks,Ratio of MPL pores to cracks chi_MPL,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfPrimaryPoresInGDL,Volume fraction of primary pores in GDL X_p_GDL_mu,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VolumeFractionOfSecondaryPoresInGDL,Volume fraction of secondary pores in GDL X_p_GDL_M,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_RelativeWaterVolumeFractionInIonomer,Relative water volume fraction in ionomer epsilon_el,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CriticalRadiusOfBottleneckPoresInCcl,Critical radius of bottleneck pores in CCL r_crit,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfPrimaryHiPores,Characteristic radius of primary HI pores r_mu_HI,CTP,input,3,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfSecondaryHiPores,Characteristic radius of secondary HI pores r_M_HI,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfHoPoresInCcl,Characteristic radius of HO pores in CCL r_HO,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_RadiusOfWaterFilledPoresInIonomer,Radius of water-filled pores in ionomer r_el,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MinimalPoreRadiusInCcl,Minimal pore radius in CCL r_min,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MaximalPoreRadiusInCcl,Maximal pore radius in CCL r_max,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ReferenceCapillaryRadiusInCclHoPores,Reference capillary radius in CCL HO pores r_c_ref,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfPoresInMpl,Characteristic radius of pores in MPL r_MPL_mu,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_RadiusOfPoresCorrespondingToCracksInMpl,Radius of pores corresponding to cracks in MPL r_MPL_M,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MinimalPoreRadiusInMpl,Minimal pore radius in MPL r_MPL_min,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MaximalPoreRadiusInMpl,Maximal pore radius in MPL r_MPL_max,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CriticalRadiusOfBottleneckPoresInMpl,Critical radius of bottleneck pores in MPL r_crit_MPL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfPrimaryPoresInGdl,Characteristic radius of primary pores in GDL r_GDL_mu,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CharacteristicRadiusOfSecondaryPoresInGdl,Characteristic radius of secondary pores in GDL r_GDL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MinimalPoreRadiusInGdl,Minimal pore radius in GDL r_GDL_min,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MaximalPoreRadiusInGdl,Maximal pore radius in GDL r_GDL_max,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CriticalRadiusOfBottleneckPoresInGdl,Critical radius of bottleneck pores in GDL r_crit_GDL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPsdOfPrimaryHiPoresInCcl,Std-dev of PSD of primary HI pores in CCL s_mu_HI,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPsdOfSecondaryHiPoresInCcl,Std-dev of PSD of secondary HI pores in CCL s_M_HI,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPsdOfHoPoresInCcl,Std-dev of PSD of HO pores in CCL s_HO,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPsdOfPoresInMpl,Std-dev of PSD of pores in MPL s_MPL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPrimaryPoresInMpl,Std-dev of primary pores in MPL s_MPL_mu,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPoresCorrespondingToCracksInMpl,Std-dev of pores corresponding to cracks in MPL s_MPL_M,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfPrimaryPoresInGdl,Std-dev of primary pores in GDL s_GDL_mu,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_StdDevOfSecondaryPoresInGdl,Std-dev of secondary pores in GDL s_GDL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_TortuosityOfPores,Tortuosity of pores tau,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ResidualDiffusivityFloodedCl,Residual diffusivity (flooded CL) D_res_CCL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ResidualDiffusivityFloodedDm,Residual diffusivity (flooded DM) D_res_DM,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ResidualPermeabilityFloodedClDm,Residual permeability (flooded CL & DM) K_res,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_VaporizationRateConstant,Vaporization rate constant kappa,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ExchangeCurrentDensity,Exchange current density j0,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ContactAngleOfHiPoresInCcl,Contact angle of HI pores in CCL theta_CCL_HI,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ContactAngleOfHoPoresInCcl,Contact angle of HO pores in CCL theta_CCL_HO,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ContactAngleOfGdlForTheBaseCase,Contact angle of GDL for the base case theta_GDL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ContactAngleOfMpl,Contact angle of MPL theta_MPL,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_DynViscosityOfLiquidWaterT80C,Dyn. viscosity of liquid water (@ T=80 degC) mu_H2O,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MolarVolumeOfLiquidWater,Molar volume of liquid water V_m,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ActivationEnergyForEvaporation,Activation energy for evaporation E_a,CTP,input,4,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_PreExpFactorForPVSatCalculation,Pre-exp. factor for p_v_sat calculation q0,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_BoltzmannConstant,Boltzmann constant k_B,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ConstrictivityFactorCclTasleem2018,Constrictivity factor CCL [Tasleem 2018] delta,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ConstrictivityFactorGdlTasleem2018,Constrictivity factor GDL [Tasleem 2018] delta_GDL,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ConstrictivityFactorMplTasleem2018,Constrictivity factor MPL [Tasleem 2018] delta_MPL,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MinimalSaturationValueInsideGdl,Minimal saturation value inside GDL Sr_GDL_min,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_DEV_CellTemperature,Absolute temperature T,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_DEV_CellInletHumidification,Relative humidity RH,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_PlatinumLoading,Platinum loading m_Pt,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_SatVaporPressureForPlanarLiqInterface,Sat. vapor pressure for planar liq. Interface p_v_s_inf,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_DEV_CellInletPressure,Pressure of inlet gas p_g_in,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_PressureOfVaporInlet,Pressure of vapor inlet p_v_in,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_DEV_CellInletO2MoleFractionDry,Oxygen concentration (0.21 = Air) cO2,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_UniversalGasConstant,Universal gas constant R,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_FaradayConstant,Faraday constant F,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_AvogardoConstant,Avogardo constant NA,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ElementaryCharge,Elementary charge e_0,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MolecularWeightOfOxygen,Molecular weight of oxygen M_O2,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_MolecularWeightOfWaterVapor,Molecular weight of water vapor M_v,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_SurfaceTensionOfWaterAtT80C,Surface tension of water at T = 80 degC gamma,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ChargeTransferSymmetryCoefficient,Charge transfer (symmetry coefficient) alpha,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ThicknessOfCcl,Thickness of CCL L_CCL,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ThicknessOfMpl,Thickness of MPL L_MPL,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_ThicknessOfGdl,Thickness of GDL L_GDL,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_SpatialGridPointsCCL,CCL spatial grid points N1,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_SpatialGridPointsMPL,CCL spatial grid points N2,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_SIM_SpatialGridPointsGDL,CCL spatial grid points N3,CTP,input,5,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
IO_CMP_CCLWaterRetentionCurve_HI,CCL liquid water saturation associated with HI pores Sr_HI,CTP,output,6,pdf_interface_schema_field,Field is represented in the derived PDF interface schema; no exact label match was found in the three original DECODE workflows.
