method_profile,h2kg_iri,preferred_label,alternative_labels,semantic_role,expected_value_form,cardinality_or_condition,qudt_guidance,source_evidence_field,metadata_boundary
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#ExposureTime,Exposure Time,,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/SEC; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#Magnification,Magnification,image magnification; TEM magnification; SEM magnification,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/UNITLESS; quantity kind http://qudt.org/vocab/quantitykind/Dimensionless.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#MicroscopyMeasuredArea,Microscopy Measured Area,measured surface area; measured area,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/MicroM2; quantity kind http://qudt.org/vocab/quantitykind/Area.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#Temperature,Temperature,cell temperature; operating temperature; room temperature,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/DEG_C; quantity kind http://qudt.org/vocab/quantitykind/ThermodynamicTemperature.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#RelativeHumidity,Relative Humidity,RH; humidification; Relative humidity A/C,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/PERCENT; quantity kind http://qudt.org/vocab/quantitykind/RelativeHumidity.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#VacuumChamberPressure,Vacuum Chamber Pressure,vacuum pressure,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/ATM; quantity kind http://qudt.org/vocab/quantitykind/Pressure.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#TotalAcquisitionTime,Total Acquisition Time,total scan time,conditional parameter,quantity value when numeric,conditional when reported or method-defining,Observed: unit http://qudt.org/vocab/unit/HR; quantity kind http://qudt.org/vocab/quantitykind/Time.,"source record identifier, page/section, or dataset pointer","Use a QUDT QuantityValue with numeric value, unit, and quantity kind when a value is asserted."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#MembraneElectrodeAssemblyThickness,Membrane Electrode Assembly Thickness,MEA thickness,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,Gas Diffusion Layer Thickness,GDL thickness; l_b; GDL thickness Ib,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#TotalPorosity,Total Porosity,% porosity,derived result,DataPoint; numeric or explicitly unreported,at least one required,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Link through fromMeasurement, ofProperty, and a producing Process."
ic_sem,https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,,contextual metadata,metadata node,optional,QUDT unit and quantity kind required when a numeric value is asserted.,"source record identifier, page/section, or dataset pointer","Cutting details, detector settings, and study-specific context remain metadata."
