source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
SEM and FIB (layer),,method,22,22,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; blade-coating-and-decal-transfer-for-ref-pefc-ccm; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; electrospray-deposition-of-catalyst-layers; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; impregnation-by-immersion-and-blade-coating; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-fib-layer; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D Performance model for MEA (fitting),,model,21,21,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; data-extraction-from-existing-pewe-measurements-u-i-t; differential-cell-testing; eis-on-pewe-cells; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; microscopy-sem-and-optical-in-mea-cross-section; pulsed-gas-analysis; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL parameter estimation from GDL and substrate data,,method,21,21,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; hg-porosimetry-gdl; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
SEM and EDX,,method,43,21,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; image-parameter-extraction-2d; impregnation-by-immersion-and-blade-coating; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Microscopy (SEM and optical) in MEA cross section,,method,20,20,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; differential-cell-testing; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; mea-assembly-for-pefc-ref-mea; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
AI-based generation of structural digital twins of multi-scale tomographies,,model,55,19,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; fib-sem-on-cl-material; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; image-fib-tomography-dataparameter-extraction-3d; image-x-ray-tomography-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Blade coating and Decal transfer for ref PEFC CCM,,process,19,19,blade-coating-and-decal-transfer-for-ref-pefc-ccm; determination-of-cl-saturation-by-saxs-or-sans; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; ink-preparation-for-deposition-of-catalytic-layers; mea-assembly-for-pefc-ref-mea; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; pulsed-gas-analysis; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; rotating-ring-disk-electrode-rrde; sem-and-fib-layer; sheet-resistance-measurement; tem-and-eds-analysis-of-mea; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D MEA with water transport in CCL EIS model,,model,19,19,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; differential-cell-testing; diffusivities-from-tortuosities; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Differential Cell Testing,,method,18,18,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; differential-cell-testing; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; mea-assembly-for-pefc-ref-mea; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
FIB measurements on GDL/MPL and catalyst materials.,,method,73,18,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; blade-coating-and-decal-transfer-for-ref-pefc-ccm; cea-mea-model-europium-2d; cl-for-rde; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; diffusivities-from-tortuosities; electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; image-classification-of-fib-tomography-data; image-classification-on-nm-scale; impregnation-by-immersion-and-blade-coating; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Voxel based 3D Effective Diffusivity simulation,,model,33,18,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fib-sem-on-cl-material; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; inpt-cl-process-model; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL compressability,,method,27,17,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; impregnation-by-immersion-and-blade-coating; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET ink to composition model,,model,17,17,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; sem-and-fib-powder; tem-and-eds-analysis-of-mea,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image X-ray tomography data parameter extraction 3D,,data,42,17,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
"Single cell test bench: polarization, EIS",,method,17,17,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; mea-assembly-for-pefc-ref-mea; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ultrasonic spray deposition for catalytic layers,,process,22,17,determination-of-cl-saturation-by-saxs-or-sans; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; mea-assembly-for-pefc-ref-mea; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; pulsed-gas-analysis; rotating-ring-disk-electrode-rrde; sem-and-fib-layer; sheet-resistance-measurement; tem-and-eds-analysis-of-mea; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell temperature,device,device,16,16,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; determination-of-cl-saturation-by-saxs-or-sans; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
