subject_iri,term_type,draft_label,draft_definition,draft_comment,draft_source,approved,overwrite_existing
https://w3id.org/h2kg/hydrogen-ontology#AnodeChargeTransferResistance,controlled_vocabulary_term,Anode Charge Transfer Resistance,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Charge Transfer Resistance.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Charge Transfer Resistance.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodeCorrodedPercent,controlled_vocabulary_term,Anode Corroded Percent,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Corroded Percent.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Corroded Percent.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodeFlowRate,controlled_vocabulary_term,Anode Flow Rate,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Flow Rate.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Flow Rate.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodePressure,controlled_vocabulary_term,Anode Pressure,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Pressure.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Pressure.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodeRelativeHumidity,controlled_vocabulary_term,Anode Relative Humidity,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Relative Humidity.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anode Relative Humidity.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodicAluminumOxideTemplate,controlled_vocabulary_term,Anodic Aluminum Oxide Template,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodic Aluminum Oxide Template.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodic Aluminum Oxide Template.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodizationProcess,controlled_vocabulary_term,Anodization Process,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Process.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Process.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodizationTime,controlled_vocabulary_term,Anodization Time,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Time.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Time.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AnodizationVoltage,controlled_vocabulary_term,Anodization Voltage,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Voltage.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Anodization Voltage.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AntimonyDopedTinOxide,controlled_vocabulary_term,Antimony Doped Tin Oxide,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Antimony Doped Tin Oxide.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Antimony Doped Tin Oxide.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AppliedPower,controlled_vocabulary_term,Applied Power,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Applied Power.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Applied Power.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AquivionMembrane,controlled_vocabulary_term,Aquivion Membrane,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Aquivion Membrane.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Aquivion Membrane.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ArrheniusConductivityAnalysis,controlled_vocabulary_term,Arrhenius Conductivity Analysis,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Arrhenius Conductivity Analysis.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Arrhenius Conductivity Analysis.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AtomicForceMicroscope,controlled_vocabulary_term,Atomic Force Microscope,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Atomic Force Microscope.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Atomic Force Microscope.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AtomicLayerDeposition,controlled_vocabulary_term,Atomic Layer Deposition,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Atomic Layer Deposition.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Atomic Layer Deposition.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AuPdDecoratedHollowTitaniumDioxideSupport,controlled_vocabulary_term,Au Pd Decorated Hollow Titanium Dioxide Support,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Au Pd Decorated Hollow Titanium Dioxide Support.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Au Pd Decorated Hollow Titanium Dioxide Support.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AuWeightPercent,controlled_vocabulary_term,Au Weight Percent,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Au Weight Percent.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Au Weight Percent.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AverageDistanceToSurface,controlled_vocabulary_term,Average Distance To Surface,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Distance To Surface.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Distance To Surface.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AverageGrainSize,controlled_vocabulary_term,Average Grain Size,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Grain Size.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Grain Size.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#AverageIrOxidationState,controlled_vocabulary_term,Average Ir Oxidation State,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Ir Oxidation State.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Average Ir Oxidation State.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BETPoreDiameter,controlled_vocabulary_term,BET Pore Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Pore Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Pore Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BETPoreVolume,controlled_vocabulary_term,BET Pore Volume,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Pore Volume.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Pore Volume.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BETSurfaceArea,controlled_vocabulary_term,BET Surface Area,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Surface Area.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing BET Surface Area.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BackPressure,controlled_vocabulary_term,Back Pressure,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Back Pressure.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Back Pressure.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BackPressureRegulator,controlled_vocabulary_term,Back Pressure Regulator,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Back Pressure Regulator.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Back Pressure Regulator.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BallMillingProcess,controlled_vocabulary_term,Ball Milling Process,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Ball Milling Process.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Ball Milling Process.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BiasPotential,controlled_vocabulary_term,Bias Potential,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bias Potential.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bias Potential.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BinderMassFraction,controlled_vocabulary_term,Binder Mass Fraction,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Binder Mass Fraction.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Binder Mass Fraction.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BinderType,controlled_vocabulary_term,Binder Type,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Binder Type.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Binder Type.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BipolarPlate,controlled_vocabulary_term,Bipolar Plate,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bipolar Plate.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bipolar Plate.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BladeCoating,controlled_vocabulary_term,Blade Coating,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Blade Coating.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Blade Coating.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BoricAcid,controlled_vocabulary_term,Boric Acid,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BoricAcidConcentration,controlled_vocabulary_term,Boric Acid Concentration,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid Concentration.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid Concentration.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BoricAcidConcentration_2,controlled_vocabulary_term,Boric Acid Concentration,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid Concentration.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boric Acid Concentration.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BoronCarbideSupport,controlled_vocabulary_term,Boron Carbide Support,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boron Carbide Support.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Boron Carbide Support.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BubbleCount,controlled_vocabulary_term,Bubble Count,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Count.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Count.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BubbleDiameter,controlled_vocabulary_term,Bubble Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#BubbleRadius,controlled_vocabulary_term,Bubble Radius,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Radius.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Bubble Radius.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CLSPEEKMembrane,controlled_vocabulary_term,CLSPEEK Membrane,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CLSPEEK Membrane.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CLSPEEK Membrane.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CLSPEEKTPA30Membrane,controlled_vocabulary_term,CLSPEEKTPA 30 Membrane,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CLSPEEKTPA 30 Membrane.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CLSPEEKTPA 30 Membrane.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#COMSOLMultiphysicsSoftware,controlled_vocabulary_term,COMSOL Multiphysics Software,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing COMSOL Multiphysics Software.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing COMSOL Multiphysics Software.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CO_StrippingChargeDensity_Ir,controlled_vocabulary_term,CO Stripping Charge Density Ir,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CO Stripping Charge Density Ir.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing CO Stripping Charge Density Ir.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CapitalCostPerPower,controlled_vocabulary_term,Capital Cost Per Power,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Capital Cost Per Power.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Capital Cost Per Power.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystDetachmentFraction,controlled_vocabulary_term,Catalyst Detachment Fraction,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Detachment Fraction.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Detachment Fraction.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayer,controlled_vocabulary_term,Catalyst Layer,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerAveragePoreArea,controlled_vocabulary_term,Catalyst Layer Average Pore Area,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Average Pore Area.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Average Pore Area.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerEquivalentPoreDiameter,controlled_vocabulary_term,Catalyst Layer Equivalent Pore Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Equivalent Pore Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Equivalent Pore Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerPackingDensity,controlled_vocabulary_term,Catalyst Layer Packing Density,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Packing Density.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Packing Density.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerResistance,controlled_vocabulary_term,Catalyst Layer Resistance,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Resistance.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Resistance.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerThickness,controlled_vocabulary_term,Catalyst Layer Thickness,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Thickness.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Thickness.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerThicknessFactor,controlled_vocabulary_term,Catalyst Layer Thickness Factor,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Thickness Factor.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Layer Thickness Factor.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystLoading,controlled_vocabulary_term,Catalyst Loading,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Loading.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Loading.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystMass,controlled_vocabulary_term,Catalyst Mass,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Mass.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Mass.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystMassFractionInInk,controlled_vocabulary_term,Catalyst Mass Fraction In Ink,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Mass Fraction In Ink.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Mass Fraction In Ink.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystMicrochannelDiameter,controlled_vocabulary_term,Catalyst Microchannel Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Microchannel Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Microchannel Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystPoreDiameter,controlled_vocabulary_term,Catalyst Pore Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Pore Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Pore Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystUtilizationEfficiency,controlled_vocabulary_term,Catalyst Utilization Efficiency,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Utilization Efficiency.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Utilization Efficiency.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystUtilizationImprovementFactor,controlled_vocabulary_term,Catalyst Utilization Improvement Factor,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Utilization Improvement Factor.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Utilization Improvement Factor.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CatalystVolumeFractionInCatalystLayer,controlled_vocabulary_term,Catalyst Volume Fraction In Catalyst Layer,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Volume Fraction In Catalyst Layer.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Catalyst Volume Fraction In Catalyst Layer.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodeCatalystLayer,controlled_vocabulary_term,Cathode Catalyst Layer,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Catalyst Layer.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Catalyst Layer.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodeChargeTransferResistance,controlled_vocabulary_term,Cathode Charge Transfer Resistance,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Charge Transfer Resistance.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Charge Transfer Resistance.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodeFlowRate,controlled_vocabulary_term,Cathode Flow Rate,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Flow Rate.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Flow Rate.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodePressure,controlled_vocabulary_term,Cathode Pressure,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Pressure.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Pressure.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodeRelativeHumidity,controlled_vocabulary_term,Cathode Relative Humidity,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Relative Humidity.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathode Relative Humidity.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CathodicCurrentEfficiency,controlled_vocabulary_term,Cathodic Current Efficiency,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathodic Current Efficiency.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cathodic Current Efficiency.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CavityDiameter,controlled_vocabulary_term,Cavity Diameter,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cavity Diameter.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cavity Diameter.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CellArea,controlled_vocabulary_term,Cell Area,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Area.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Area.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CellVoltage,controlled_vocabulary_term,Cell Voltage,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CellVoltageIncrease,controlled_vocabulary_term,Cell Voltage Increase,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage Increase.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage Increase.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CellVoltageStandardDeviation,controlled_vocabulary_term,Cell Voltage Standard Deviation,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage Standard Deviation.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cell Voltage Standard Deviation.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#CeriumOxideSupport,controlled_vocabulary_term,Cerium Oxide Support,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cerium Oxide Support.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Cerium Oxide Support.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ChargeTransferCoefficientAnode,controlled_vocabulary_term,Charge Transfer Coefficient Anode,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Coefficient Anode.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Coefficient Anode.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ChargeTransferCoefficientCathode,controlled_vocabulary_term,Charge Transfer Coefficient Cathode,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Coefficient Cathode.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Coefficient Cathode.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ChargeTransferResistance,controlled_vocabulary_term,Charge Transfer Resistance,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Resistance.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Resistance.,heuristic,no,no
https://w3id.org/h2kg/hydrogen-ontology#ChargeTransferResistanceDecreasePercent,controlled_vocabulary_term,Charge Transfer Resistance Decrease Percent,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Resistance Decrease Percent.,A curated controlled term in the H2KG PEMFC Catalyst Layer Application Ontology representing Charge Transfer Resistance Decrease Percent.,heuristic,no,no
