source_label,native_category,visual_category,occurrence_count,workflow_ids,semantic_role,canonical_role_iri,role_assignment,decision,mapping_state,anchor_iri,confidence,rationale
Binding energies of intermediates,LRE,device,3,dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,lre_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/binding-energies-of-intermediates-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Blade coating and Decal transfer for ref PEFC CCM,,process,19,blade-coating-and-decal-transfer-for-ref-pefc-ccm; determination-of-cl-saturation-by-saxs-or-sans; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; ink-preparation-for-deposition-of-catalytic-layers; mea-assembly-for-pefc-ref-mea; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; pulsed-gas-analysis; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; rotating-ring-disk-electrode-rrde; sem-and-fib-layer; sheet-resistance-measurement; tem-and-eds-analysis-of-mea; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,Manufacturing,https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,physical_manufacturing_workflow,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/blade-coating-and-decal-transfer-for-ref-pefc-ccm-process,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
BPP material,material,material,1,electrical-contact-resistance,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/bpp-material-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst active particle contact angle,material,material,1,iet-ink-to-composition-model,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-contact-angle-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst active particle density,material,material,6,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-density-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst active particle diameter,material,material,4,iet-ink-to-composition-model; image-tem-data-parameter-extraction-3d; sem-and-fib-powder; tem-and-eds-analysis-of-mea,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-diameter-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst active particle radius distribution,material,material,5,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction; image-tem-data-parameter-extraction-3d; tem-and-eds-analysis-of-mea,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-radius-distribution-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst active particle radius distribution (aged),component,component,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-radius-distribution-aged-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst coagulation rate constant,component,component,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-coagulation-rate-constant-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst deactivation rate constant,component,component,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-deactivation-rate-constant-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst dissolution rate constant,component,component,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-dissolution-rate-constant-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst elemental composition,material,material,3,image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; sem-and-fib-powder,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-elemental-composition-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst ink,material,material,6,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; ink-preparation-for-deposition-of-catalytic-layers; rheology; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; turbiscan-transmission-and-backscattering-stability-testing,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,existing_h2kg_mapping,approved_h2kg,https://w3id.org/h2kg/hydrogen-ontology#CatalystInk,unreviewed,Reviewed exact domain concept mapping to the public H2KG catalyst-ink anchor.
Catalyst ink composition,material,material,8,cl-for-rde; dropcasted-ink-on-gc-tips; gde-catalytic-layer-preparation; ink-preparation-for-deposition-of-catalytic-layers; inpt-cl-process-model; irras-operando-or-in-situ-ftir; prism-preparation-for-atr-ftir; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-ink-composition-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst ink rheologic properties,material,material,1,rheology,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-ink-rheologic-properties-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst ink stability,material,material,1,rheology,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-ink-stability-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst ink stability (turbiscan factor),material,material,1,turbiscan-transmission-and-backscattering-stability-testing,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-ink-stability-turbiscan-factor-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst loading,component,component,15,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; accelerated-stress-test-ast-on-nanostructured-electrodes; cea-mea-model-europium-2d; differential-cell-testing; eis-on-nanostructured-electrodes; fitting-of-the-europium-model; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; ionomer-reconstruction-in-ccl-3d-images; irras-operando-or-in-situ-ftir; model-electrochemistry-in-a-rde-cell; prism-preparation-for-atr-ftir; rotating-ring-disk-electrode-rrde,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,explicit_mapping,existing_h2kg_mapping,approved_h2kg,https://w3id.org/h2kg/hydrogen-ontology#CatalystLoading,high,Reviewed exact mapping to the established catalyst-loading term.
Catalyst loading (aged),component,component,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-loading-aged-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst morphology,material,material,2,image-tem-data-parameter-extraction-3d; sem-and-fib-powder,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-morphology-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst pore size distribution,material,material,1,iet-ink-to-composition-model,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-pore-size-distribution-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst powder,material,material,14,cl-for-rde; dip-and-pull-operando-or-in-situ-xps; dropcasted-ink-on-gc-tips; gde-catalytic-layer-preparation; ink-preparation-for-deposition-of-catalytic-layers; irras-operando-or-in-situ-ftir; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; prism-preparation-for-atr-ftir; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; rotating-ring-disk-electrode-rrde; sem-and-fib-powder; thin-windows-operando-or-in-situ-xps; ultrasonic-spray-deposition-for-catalytic-layers,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,material_category_default,existing_h2kg_mapping,approved_h2kg,https://w3id.org/h2kg/hydrogen-ontology#CatalystPowder,unreviewed,Reviewed exact domain concept mapping to the public H2KG catalyst-powder anchor.
Catalyst re-deposition rate constant,component,component,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,catalyst_redeposition_rate_is_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-re-deposition-rate-constant-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Catalyst support contact angle,material,material,1,iet-ink-to-composition-model,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-support-contact-angle-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
