Acetic Acid Solution | https://w3id.org/h2kg/hydrogen-ontology#AceticAcidSolution | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ammonia | https://w3id.org/h2kg/hydrogen-ontology#Ammonia | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ammonium Acetate | https://w3id.org/h2kg/hydrogen-ontology#AmmoniumAcetate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ammonium Carbonate | https://w3id.org/h2kg/hydrogen-ontology#AmmoniumCarbonate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ammonium Dihydrogen Phosphate | https://w3id.org/h2kg/hydrogen-ontology#AmmoniumDihydrogenPhosphate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ammonium Hydrogen Difluoride | https://w3id.org/h2kg/hydrogen-ontology#AmmoniumHydrogenDifluoride | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Amorphous Carbon Deposit | https://w3id.org/h2kg/hydrogen-ontology#AmorphousCarbonDeposit | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Analytical Balance | https://w3id.org/h2kg/hydrogen-ontology#AnalyticalBalance | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=4
Analytical Centrifuge | https://w3id.org/h2kg/hydrogen-ontology#AnalyticalCentrifuge | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Anion Exchange Ionomer Powder | https://w3id.org/h2kg/hydrogen-ontology#AnionExchangeIonomerPowder | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Anion Exchange Membrane | https://w3id.org/h2kg/hydrogen-ontology#AnionExchangeMembrane | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Ansys Fluent Fuel Cell Module | https://w3id.org/h2kg/hydrogen-ontology#AnsysFluentFuelCellModule | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Anthraquinone 2 Sulfonic Acid | https://w3id.org/h2kg/hydrogen-ontology#Anthraquinone2SulfonicAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Apparent Density | https://w3id.org/h2kg/hydrogen-ontology#ApparentDensity | type=https://w3id.org/h2kg/hydrogen-ontology#Property | incoming_refs=1
Aqueous Organic Flow Battery | https://w3id.org/h2kg/hydrogen-ontology#AqueousOrganicFlowBattery | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Arduino Mega 2560 | https://w3id.org/h2kg/hydrogen-ontology#ArduinoMega2560 | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Argon | https://w3id.org/h2kg/hydrogen-ontology#Argon | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Argon 5 Percent Hydrogen | https://w3id.org/h2kg/hydrogen-ontology#Argon5PercentHydrogen | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Argon Gas | https://w3id.org/h2kg/hydrogen-ontology#ArgonGas | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
ATRFTIR Measurement | https://w3id.org/h2kg/hydrogen-ontology#ATRFTIRMeasurement | type=https://w3id.org/h2kg/hydrogen-ontology#Measurement | incoming_refs=0
Automatic Plunge Freezer | https://w3id.org/h2kg/hydrogen-ontology#AutomaticPlungeFreezer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Ball Mill | https://w3id.org/h2kg/hydrogen-ontology#BallMill | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Battery Analyzer | https://w3id.org/h2kg/hydrogen-ontology#BatteryAnalyzer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Bead Mill Machine | https://w3id.org/h2kg/hydrogen-ontology#BeadMillMachine | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
BET Analyzer | https://w3id.org/h2kg/hydrogen-ontology#BETAnalyzer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
BET Surface Analyzer | https://w3id.org/h2kg/hydrogen-ontology#BETSurfaceAnalyzer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
BET Surface Area Water Vapor | https://w3id.org/h2kg/hydrogen-ontology#BETSurfaceAreaWaterVapor | type=https://w3id.org/h2kg/hydrogen-ontology#Property | incoming_refs=0
Beta Ag 2 Se | https://w3id.org/h2kg/hydrogen-ontology#BetaAg2Se | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Beta Si C Phase | https://w3id.org/h2kg/hydrogen-ontology#BetaSiCPhase | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Biodiesel | https://w3id.org/h2kg/hydrogen-ontology#Biodiesel | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Biomass Derived Few Layer Graphene Flakes | https://w3id.org/h2kg/hydrogen-ontology#BiomassDerivedFewLayerGrapheneFlakes | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Biomass Precursor | https://w3id.org/h2kg/hydrogen-ontology#BiomassPrecursor | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Blue Dye | https://w3id.org/h2kg/hydrogen-ontology#BlueDye | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Boiling Pretreatment | https://w3id.org/h2kg/hydrogen-ontology#BoilingPretreatment | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Butylamine | https://w3id.org/h2kg/hydrogen-ontology#Butylamine | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Capillary Furnace | https://w3id.org/h2kg/hydrogen-ontology#CapillaryFurnace | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Carbon Black | https://w3id.org/h2kg/hydrogen-ontology#CarbonBlack | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Carbon Cloth Substrate | https://w3id.org/h2kg/hydrogen-ontology#CarbonClothSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Carbon Dioxide | https://w3id.org/h2kg/hydrogen-ontology#CarbonDioxide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Carbon Felt Electrode | https://w3id.org/h2kg/hydrogen-ontology#CarbonFeltElectrode | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Carbon Fiber | https://w3id.org/h2kg/hydrogen-ontology#CarbonFiber | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Carbon Nanotube | https://w3id.org/h2kg/hydrogen-ontology#CarbonNanotube | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Carbon Nanotube Forest | https://w3id.org/h2kg/hydrogen-ontology#CarbonNanotubeForest | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Carbon Pretreatment Process | https://w3id.org/h2kg/hydrogen-ontology#CarbonPretreatmentProcess | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Carbon Support | https://w3id.org/h2kg/hydrogen-ontology#CarbonSupport | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=5
Carbon Xerogel X 85 | https://w3id.org/h2kg/hydrogen-ontology#CarbonXerogelX85 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Carbonized 3 D Printed Carbon Material | https://w3id.org/h2kg/hydrogen-ontology#Carbonized3DPrintedCarbonMaterial | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=8
Cardo Based Acrylic Resin | https://w3id.org/h2kg/hydrogen-ontology#CardoBasedAcrylicResin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Castor Oil | https://w3id.org/h2kg/hydrogen-ontology#CastorOil | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Catalyst Coated Substrate | https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Catalyst Ink Structure Dataset | https://w3id.org/h2kg/hydrogen-ontology#CatalystInkStructureDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=4
Catalyst Layer Morphology | https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerMorphology | type=https://w3id.org/h2kg/hydrogen-ontology#Property | incoming_refs=3
Catalyst Layer Volume | https://w3id.org/h2kg/hydrogen-ontology#CatalystLayerVolume | type=https://w3id.org/h2kg/hydrogen-ontology#NormalizationBasis | incoming_refs=0
Catalyst Loading Pattern | https://w3id.org/h2kg/hydrogen-ontology#CatalystLoadingPattern | type=https://w3id.org/h2kg/hydrogen-ontology#Parameter | incoming_refs=1
Catalyst Powder | https://w3id.org/h2kg/hydrogen-ontology#CatalystPowder | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Catalyzed Diffusion Medium Method | https://w3id.org/h2kg/hydrogen-ontology#CatalyzedDiffusionMediumMethod | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Cathode Starvation Activation | https://w3id.org/h2kg/hydrogen-ontology#CathodeStarvationActivation | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Cd Se Zn S Quantum Dot | https://w3id.org/h2kg/hydrogen-ontology#CdSeZnSQuantumDot | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Centrifuge | https://w3id.org/h2kg/hydrogen-ontology#Centrifuge | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Ceramic Colloid Ink | https://w3id.org/h2kg/hydrogen-ontology#CeramicColloidInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Cesium Formate Solution | https://w3id.org/h2kg/hydrogen-ontology#CesiumFormateSolution | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Charge Discharge Dataset | https://w3id.org/h2kg/hydrogen-ontology#ChargeDischargeDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Chloroplatinic Acid Hexahydrate | https://w3id.org/h2kg/hydrogen-ontology#ChloroplatinicAcidHexahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
CHOSPEEK 64 | https://w3id.org/h2kg/hydrogen-ontology#CHOSPEEK64 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
CI Co Composite Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CICoCompositeCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
CI Fe Composite Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CIFeCompositeCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Co AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CoAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Co Mn AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CoMnAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Co NC Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CoNCCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Co Ni AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CoNiAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Co Reduction Process | https://w3id.org/h2kg/hydrogen-ontology#CoReductionProcess | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
CO Stripping Activation | https://w3id.org/h2kg/hydrogen-ontology#COStrippingActivation | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Co TMPP Catalyst | https://w3id.org/h2kg/hydrogen-ontology#CoTMPPCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Cobalt Acetate | https://w3id.org/h2kg/hydrogen-ontology#CobaltAcetate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Cobalt Hexadecanethiolate | https://w3id.org/h2kg/hydrogen-ontology#CobaltHexadecanethiolate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Cobalt II Nitrate Hexahydrate | https://w3id.org/h2kg/hydrogen-ontology#CobaltIINitrateHexahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Cobalt II Oxide Co O | https://w3id.org/h2kg/hydrogen-ontology#CobaltIIOxideCoO | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Cobalt Nitrate Hexahydrate | https://w3id.org/h2kg/hydrogen-ontology#CobaltNitrateHexahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Cobalt Oxide Co 3 O 4 | https://w3id.org/h2kg/hydrogen-ontology#CobaltOxideCo3O4 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Coffee Ring Effect | https://w3id.org/h2kg/hydrogen-ontology#CoffeeRingEffect | type=https://w3id.org/h2kg/hydrogen-ontology#Property | incoming_refs=0
Cold Isostatic Pressing Process | https://w3id.org/h2kg/hydrogen-ontology#ColdIsostaticPressingProcess | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Colloidal Silica | https://w3id.org/h2kg/hydrogen-ontology#ColloidalSilica | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Colloidal Silica Impregnated Porous Ceramic | https://w3id.org/h2kg/hydrogen-ontology#ColloidalSilicaImpregnatedPorousCeramic | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Comsol Multiphysics | https://w3id.org/h2kg/hydrogen-ontology#ComsolMultiphysics | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Conductive Carbon Grease | https://w3id.org/h2kg/hydrogen-ontology#ConductiveCarbonGrease | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Conductive Silver Ink | https://w3id.org/h2kg/hydrogen-ontology#ConductiveSilverInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Conductivity Dataset | https://w3id.org/h2kg/hydrogen-ontology#ConductivityDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=4
Confocal Microscope | https://w3id.org/h2kg/hydrogen-ontology#ConfocalMicroscope | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=3
Contact Angle Goniometer | https://w3id.org/h2kg/hydrogen-ontology#ContactAngleGoniometer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Continuous Mode Printing | https://w3id.org/h2kg/hydrogen-ontology#ContinuousModePrinting | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Copper Film | https://w3id.org/h2kg/hydrogen-ontology#CopperFilm | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Copper Sulfate Pentahydrate | https://w3id.org/h2kg/hydrogen-ontology#CopperSulfatePentahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Corn Starch | https://w3id.org/h2kg/hydrogen-ontology#CornStarch | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Cryo Ultramicrotome | https://w3id.org/h2kg/hydrogen-ontology#CryoUltramicrotome | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Cryostat | https://w3id.org/h2kg/hydrogen-ontology#Cryostat | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Cu 2 WS 4 Nanocube Ink | https://w3id.org/h2kg/hydrogen-ontology#Cu2WS4NanocubeInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Cu 2 WS 4 Nanocubes | https://w3id.org/h2kg/hydrogen-ontology#Cu2WS4Nanocubes | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Cyclic Voltammogram Dataset | https://w3id.org/h2kg/hydrogen-ontology#CyclicVoltammogramDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Cyclohexanol | https://w3id.org/h2kg/hydrogen-ontology#Cyclohexanol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Cyclopentanone | https://w3id.org/h2kg/hydrogen-ontology#Cyclopentanone | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Data Acquisition Computer | https://w3id.org/h2kg/hydrogen-ontology#DataAcquisitionComputer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Dealloyed Pt Ni On Carbon Catalyst | https://w3id.org/h2kg/hydrogen-ontology#DealloyedPtNiOnCarbonCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Debinding Process | https://w3id.org/h2kg/hydrogen-ontology#DebindingProcess | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Diacetone Alcohol | https://w3id.org/h2kg/hydrogen-ontology#DiacetoneAlcohol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Diaphragm Pump | https://w3id.org/h2kg/hydrogen-ontology#DiaphragmPump | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Dibutyl Phthalate | https://w3id.org/h2kg/hydrogen-ontology#DibutylPhthalate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Differential Scanning Calorimeter | https://w3id.org/h2kg/hydrogen-ontology#DifferentialScanningCalorimeter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Digital Balance | https://w3id.org/h2kg/hydrogen-ontology#DigitalBalance | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Digital Caliper | https://w3id.org/h2kg/hydrogen-ontology#DigitalCaliper | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Digital Microscope | https://w3id.org/h2kg/hydrogen-ontology#DigitalMicroscope | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Digital Multimeter | https://w3id.org/h2kg/hydrogen-ontology#DigitalMultimeter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=6
Dihydroxybenzene Disulfonic Acid | https://w3id.org/h2kg/hydrogen-ontology#DihydroxybenzeneDisulfonicAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Dimethyl Sulfoxide | https://w3id.org/h2kg/hydrogen-ontology#DimethylSulfoxide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Dimethylacetamide | https://w3id.org/h2kg/hydrogen-ontology#Dimethylacetamide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Dimethylformamide | https://w3id.org/h2kg/hydrogen-ontology#Dimethylformamide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Dip Coater Instrument | https://w3id.org/h2kg/hydrogen-ontology#DipCoaterInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Dipropyl Ketone | https://w3id.org/h2kg/hydrogen-ontology#DipropylKetone | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Dipropylene Glycol | https://w3id.org/h2kg/hydrogen-ontology#DipropyleneGlycol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Direct Ink Writing Printer | https://w3id.org/h2kg/hydrogen-ontology#DirectInkWritingPrinter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=3
Direct Membrane Deposition | https://w3id.org/h2kg/hydrogen-ontology#DirectMembraneDeposition | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Direct Methanol Fuel Cell | https://w3id.org/h2kg/hydrogen-ontology#DirectMethanolFuelCell | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Dispersion Machine | https://w3id.org/h2kg/hydrogen-ontology#DispersionMachine | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
DLP Elastomer Resin | https://w3id.org/h2kg/hydrogen-ontology#DLPElastomerResin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
DLP Plastic Resin | https://w3id.org/h2kg/hydrogen-ontology#DLPPlasticResin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
DLP Printing | https://w3id.org/h2kg/hydrogen-ontology#DLPPrinting | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
DLP Projector | https://w3id.org/h2kg/hydrogen-ontology#DLPProjector | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
DLP Resin Tank | https://w3id.org/h2kg/hydrogen-ontology#DLPResinTank | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
DLS Instrument | https://w3id.org/h2kg/hydrogen-ontology#DLSInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
DLS Particle Size Dataset | https://w3id.org/h2kg/hydrogen-ontology#DLSParticleSizeDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
DMAEMA Monomer | https://w3id.org/h2kg/hydrogen-ontology#DMAEMAMonomer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Docosyltriethoxysilane | https://w3id.org/h2kg/hydrogen-ontology#Docosyltriethoxysilane | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
DRM Performance Dataset | https://w3id.org/h2kg/hydrogen-ontology#DRMPerformanceDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=0
DRT Dataset | https://w3id.org/h2kg/hydrogen-ontology#DRTDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
DSC Instrument | https://w3id.org/h2kg/hydrogen-ontology#DSCInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Dye Sensitized Solar Cell | https://w3id.org/h2kg/hydrogen-ontology#DyeSensitizedSolarCell | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
